nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  near     cat_dash at (20,5), 36px, exc 0, in 0.0/s (crowd 2.5, events 0.0), sleep 17
   0.0  cross    stepped into the road at (21,3), mid-block
   0.0  near     cafe_tables at (24,5), 63px, exc 0, in 0.0/s (crowd 0.0, events 0.5), sleep 18
   0.0  near     leaf_blower at (33,7), 199px, exc 0, in 0.0/s (crowd 0.0, events 0.1), sleep 19
   0.0  near     moving_van at (38,4), 119px, exc 0, in 0.0/s (crowd 0.0, events 6.2), sleep 20
   0.0  near     moving_van at (38,1), 120px, exc 0, in 0.0/s (crowd 0.0, events 5.1), sleep 20
   0.0  crowd    a car sounded its horn at her in the road at (35,3) | exc 0, in 0.0/s (crowd 0.0, events 8.1), sleep 18
   0.0  shot     burst started: asked for an animation burst at (35,3) | exc 0, sleep 18 | playing | asked/burst-269374644-008
   0.0  near     moving_van at (38,1), 120px, exc 0, in 0.0/s (crowd 21.2, events 10.6), sleep 18
   0.0  near     moving_van at (38,4), 64px, exc 0, in 0.0/s (crowd 20.4, events 4.1), sleep 18
   0.0  near     moving_van at (38,1), 65px, exc 0, in 0.0/s (crowd 20.1, events 1.0), sleep 18
   0.0  near     leaf_blower at (43,6), 198px, exc 0, in 0.0/s (crowd 14.9, events 0.3), sleep 18
   0.0  crowd    a car sounded its horn at her in the road at (38,2) | exc 0, in 0.0/s (crowd 14.2, events 0.7), sleep 18
   0.0  cue      the mark over her head: soon for 0.0s (2.7s of it on the road) | a car, and she is in the road
   0.0  shot     burst complete: 36 frames | frame_cap
   0.0  near     leaf_blower at (53,1), 199px, exc 0, in 0.0/s (crowd 16.9, events 0.1), sleep 19
   0.0  shot     burst started: asked for an animation burst at (48,1) | exc 0, sleep 19 | playing | asked/burst-275757888-009
   0.0  shot     burst complete: 36 frames | frame_cap
   0.0  turn     doubled back 248°
   0.0  near     leaf_blower at (43,6), 200px, exc 0, in 0.0/s (crowd 40.3, events 0.0), sleep 16
   0.0  ahead    cat_dash crosses 332px in front of her at (46,1)
   0.0  cross    stepped into the road at (46,2), at a zebra
   0.0  near     leaf_blower at (53,1), 200px, exc 0, in 0.0/s (crowd 4.1, events 1.1), sleep 17
   0.0  crowd    a car sounded its horn at her in the road at (50,3) | exc 0, in 0.0/s (crowd 7.7, events 8.2), sleep 17
   0.0  cross    stepped into the road at (50,3), mid-block
   0.0  near     market_stall at (52,5), 64px, exc 0, in 0.0/s (crowd 21.9, events 16.0), sleep 18
   0.0  near     leaf_blower at (53,1), 109px, exc 0, in 0.0/s (crowd 23.3, events 19.2), sleep 18
   0.0  crowd    a car sounded its horn at her in the road at (52,3) | exc 0, in 0.0/s (crowd 27.6, events 27.6), sleep 18
   0.0  near     market_stall at (52,1), 64px, exc 0, in 0.0/s (crowd 46.3, events 21.6), sleep 18
   0.0  near     leaf_blower at (53,1), 59px, exc 0, in 0.0/s (crowd 46.3, events 22.0), sleep 18
   0.0  cue      the mark over her head: soon for 0.0s (1.7s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (59,2), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (60,2) | exc 0, in 0.0/s (crowd 4.9, events 0.0), sleep 19
   0.0  path     onto the corridor at (62,2), after 0.0s off it
   0.0  near     cafe_tables at (66,1), 64px, exc 0, in 0.0/s (crowd 22.7, events 0.1), sleep 20
   0.0  cue      the mark over her head: soon for 0.0s (2.8s of it on the road) | a car, and she is in the road
   0.0  path     off the corridor at (70,0), after 0.0s on it
   0.0  path     onto the corridor at (72,0), after 0.0s off it
   0.0  path     off the corridor at (74,2), after 0.0s on it
   0.0  cross    stepped into the road at (74,2), at a zebra
   0.0  path     onto the corridor at (76,2), after 0.0s off it
   0.0  near     market_stall at (77,1), 63px, exc 0, in 0.0/s (crowd 0.0, events 2.6), sleep 22
   0.0  near     homeless_yeller at (84,4), 210px, exc 0, in 0.0/s (crowd 0.0, events 11.3), sleep 22
   0.0  path     off the corridor at (84,1), after 0.0s on it
   0.0  near     homeless_yeller at (87,4), 115px, exc 0, in 0.0/s (crowd 0.0, events 7.0), sleep 23
   0.0  cross    stepped into the road at (86,1), at a signalled crossing
   0.0  crowd    a car sounded its horn at her in the road at (86,1) | exc 0, in 0.0/s (crowd 0.0, events 9.7), sleep 23
   0.0  crowd    a car sounded its horn at her in the road at (86,1) | exc 0, in 0.0/s (crowd 0.0, events 9.9), sleep 23
   0.0  cue      the mark over her head: soon for 0.0s (0.6s of it on the road) | a car, and she is in the road
   0.0  path     onto the corridor at (90,1), after 0.0s off it
   0.0  path     off the corridor at (98,1), after 0.0s on it
   0.0  path     onto the corridor at (104,1), after 0.0s off it
   0.0  ahead    loose_dog comes at her from 0px in front of her at (110,1)
   0.0  path     off the corridor at (112,1), after 0.0s on it
   0.0  near     loose_dog (telegraph) at (118,1), 140px, exc 0, in 0.0/s (crowd 0.0, events 2.7), sleep 27
   0.0  near     loose_dog (telegraph) at (116,1), 76px, exc 0, in 0.0/s (crowd 0.0, events 4.2), sleep 27
   0.0  near     loose_dog (telegraph) at (115,1), 41px, exc 0, in 0.0/s (crowd 0.0, events 3.7), sleep 27
   0.0  cross    stepped into the road at (115,2), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (119,2) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 28
   0.0  crowd    a car sounded its horn at her in the road at (120,2) | exc 0, in 0.0/s (crowd 16.0, events 0.0), sleep 28
   0.0  crowd    a car sounded its horn at her in the road at (124,2) | exc 0, in 0.0/s (crowd 6.5, events 0.0), sleep 29
   0.0  cue      the mark over her head: soon for 0.0s (2.4s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (126,2), at a zebra
   0.0  crowd    a car sounded its horn at her in the road at (127,2) | exc 0, in 0.0/s (crowd 5.1, events 0.0), sleep 29
   0.0  near     delivery_van at (136,4), 149px, exc 0, in 0.0/s (crowd 12.4, events 0.0), sleep 30
   0.0  cue      the mark over her head: soon for 0.0s (2.2s of it on the road) | a car, and she is in the road
   0.0  near     delivery_van at (136,4), 81px, exc 0, in 0.0/s (crowd 1.0, events 0.0), sleep 30
   0.0  near     delivery_van at (136,4), 44px, exc 0, in 0.0/s (crowd 2.5, events 0.0), sleep 31
