nappy run log  2026-09-20T11:53:24  version v0.13.1-9-ged64fe3b
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_c.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_side.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_front_diagonal.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_front.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_a.png read from disk in 0.2 ms

day 1  act 1  run seed 851093948  city seed 851093948  length 180.0s
   0.0  texture  ground composed: 66 sources over 65 pictures into 424x444 in 23.3 ms
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 1]
   0.0  plan     closed: roadworks v(1,2)
   0.0  plan     calm: 1 quiet_square, 2 park, 3 courtyard, 4 forest
   0.0  plan     events: alley_mouse x4, burst_water_main x28, cafe_tables x62, car_accident x20, cat_dash x8, chatting_mother x2, delivery_van x46, dog_walker x22, fallen_tree, homeless_yeller x13, leaf_blower x13, loose_dog x15, market_stall x47, moving_van x60, pigeon_flock x5, playground x2, scaffolding x13, skip x14
   0.0  start    doorstep (80,84), facing 180°
   0.0  save     wrote the save (day under way)
   0.0  crowd    walked into somebody at (80,84) | exc 0, in 8.6/s (crowd 26.6, events 0.0), sleep 0
   1.0  frame    fps 89, worst frame 133.3ms, draws 301, objects 1832, primitives 4445, process 110.07ms, physics 9.82ms
   1.6  crowd    walked into somebody at (78,85) | exc 3, in 4.2/s (crowd 22.2, events 0.0), sleep 0
   1.7  cross    stepped into the road at (78,86), mid-block
   2.0  frame    fps 117, worst frame 15.8ms, draws 288, objects 1866, primitives 4345, process 14.42ms, physics 1.53ms
